ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
1458519,G186842,04/02/2001 02:05:00 PM,035XX W GRAND AV,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,GOVERNMENT BUILDING/PROPERTY,false,false,1121,011,,,26,1152999,1907176,2001,08/17/2015 03:03:40 PM,41.901142833,-87.713465021,"(41.901142833, -87.713465021)"
7952159,HT184146,03/01/2011 04:00:00 PM,036XX W DIVISION ST,0460,BATTERY,SIMPLE,MEDICAL/DENTAL OFFICE,false,false,2535,025,26,23,08B,1151952,1907754,2011,02/04/2016 06:33:39 AM,41.902749616,-87.717295521,"(41.902749616, -87.717295521)"
10440914,HZ179680,03/08/2016 02:00:00 PM,072XX S HONORE ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0735,007,17,67,05,1165271,1856695,2016,03/15/2016 03:54:40 PM,41.762365534,-87.669821084,"(41.762365534, -87.669821084)"
2222197,HH486839,07/02/2002 07:00:00 AM,015XX N GREENVIEW AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1433,014,1,24,06,1166109,1910307,2002,04/15/2016 08:55:02 AM,41.909464471,-87.66522133,"(41.909464471, -87.66522133)"
5624986,HN432467,06/27/2007 06:00:00 PM,024XX E 105TH ST,0890,THEFT,FROM BUILDING,PARK PROPERTY,false,false,0434,004,10,51,06,1193897,1835873,2007,04/15/2016 08:55:02 AM,41.704574292,-87.565584886,"(41.704574292, -87.565584886)"
4273198,HL587756,09/02/2005 05:15:00 PM,015XX N KINGSBURY ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1822,018,32,8,06,1169206,1910721,2005,04/15/2016 08:55:02 AM,41.910533752,-87.653832316,"(41.910533752, -87.653832316)"
10305264,HY494145,11/06/2015 09:00:00 AM,014XX E 55TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0234,002,5,41,07,1187005,1868958,2015,11/13/2015 03:59:44 PM,41.795528575,-87.589775019,"(41.795528575, -87.589775019)"
2313574,HH586292,08/17/2002 10:53:00 AM,045XX W HARRISON ST,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,true,false,1131,011,24,26,18,1146294,1896974,2002,04/15/2016 08:55:02 AM,41.873277685,-87.738353115,"(41.873277685, -87.738353115)"
6002941,HP110700,01/07/2008 07:00:00 AM,020XX N KOLMAR AVE,0610,BURGLARY,FORCIBLE ENTRY,WAREHOUSE,false,false,2522,025,31,20,05,1145727,1913117,2008,02/04/2016 06:33:39 AM,41.917586637,-87.740025014,"(41.917586637, -87.740025014)"
4742441,HM351440,05/14/2006 09:00:00 PM,105XX S UNION AVE,0820,THEFT,$500 AND UNDER,ALLEY,false,false,2233,022,34,49,06,1173512,1834856,2006,04/15/2016 08:55:02 AM,41.702257958,-87.640261238,"(41.702257958, -87.640261238)"
2156865,HH404489,05/29/2002 01:15:00 PM,078XX S ABERDEEN ST,0560,ASSAULT,SIMPLE,RESIDENCE-GARAGE,false,true,0612,006,17,71,08A,1170345,1852785,2002,04/15/2016 08:55:02 AM,41.751527081,-87.651337763,"(41.751527081, -87.651337763)"
7860562,HS674423,12/23/2010 09:00:00 PM,038XX W 65TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,0833,008,13,65,07,1151820,1861225,2010,02/04/2016 06:33:39 AM,41.775070722,-87.719002791,"(41.775070722, -87.719002791)"
8758293,HV432651,08/13/2012 03:00:00 PM,065XX S MORGAN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0724,007,17,68,08B,1170768,1861522,2012,02/04/2016 06:33:39 AM,41.775493298,-87.649533153,"(41.775493298, -87.649533153)"
5717535,HN526945,08/12/2007 05:00:00 PM,0000X N LOOMIS ST,0890,THEFT,FROM BUILDING,OTHER,false,false,1212,012,27,28,06,1166986,1900300,2007,04/15/2016 08:55:02 AM,41.881985776,-87.66228715,"(41.881985776, -87.66228715)"
7939146,HT172235,02/21/2011 12:15:00 PM,027XX S CHRISTIANA AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,1032,010,22,30,06,1154475,1885600,2011,02/04/2016 06:33:39 AM,41.841906601,-87.708620292,"(41.841906601, -87.708620292)"
1463657,G194806,04/06/2001 09:14:55 AM,002XX E RANDOLPH ST,1120,DECEPTIVE PRACTICE,FORGERY,CREDIT UNION,true,false,0124,001,,,10,1177881,1901352,2001,08/17/2015 03:03:40 PM,41.884631782,-87.622249231,"(41.884631782, -87.622249231)"
8657772,HV332907,06/13/2012 07:30:00 AM,014XX N KILDARE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,2534,025,37,23,05,1147453,1909170,2012,02/04/2016 06:33:39 AM,41.906722733,-87.733784944,"(41.906722733, -87.733784944)"
6984532,HR389984,06/23/2009 03:50:00 AM,038XX W FERDINAND ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VACANT LOT/LAND,true,false,1122,011,27,23,18,1150493,1903059,2009,02/04/2016 06:33:39 AM,41.889894683,-87.722777454,"(41.889894683, -87.722777454)"
3172405,HK174243,02/09/2004 07:30:00 PM,062XX N NORDICA AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,1611,016,41,10,08B,1128625,1941184,2004,04/15/2016 08:55:02 AM,41.994913083,-87.802220334,"(41.994913083, -87.802220334)"
5473071,HN257640,03/31/2007 09:35:00 AM,040XX W MONROE ST,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,STREET,true,false,1115,011,28,26,18,1149458,1899354,2007,04/15/2016 08:55:02 AM,41.879747904,-87.726674651,"(41.879747904, -87.726674651)"
7849349,HS662439,12/15/2010 04:00:00 PM,0000X E CHICAGO AVE,0890,THEFT,FROM BUILDING,OTHER,false,false,1833,018,42,8,06,1176936,1905747,2010,02/04/2016 06:33:39 AM,41.896713321,-87.625586243,"(41.896713321, -87.625586243)"
2641096,HJ251042,03/21/2003 03:02:52 AM,046XX N MANOR AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1713,017,33,14,08B,1156160,1930960,2003,04/15/2016 08:55:02 AM,41.966344602,-87.701210226,"(41.966344602, -87.701210226)"
7942091,HT175037,02/19/2011 11:00:00 AM,006XX N DEARBORN ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,BANK,false,false,1832,018,42,8,06,1175833,1904257,2011,02/04/2016 06:33:39 AM,41.892649581,-87.629682213,"(41.892649581, -87.629682213)"
3375982,HK427111,06/12/2004 10:30:00 PM,108XX S EWING AVE,0560,ASSAULT,SIMPLE,STREET,false,false,0432,004,10,52,08A,1202192,1833790,2004,04/15/2016 08:55:02 AM,41.698651418,-87.535281225,"(41.698651418, -87.535281225)"
3285649,HK316252,04/21/2004 05:25:00 PM,058XX W HIGGINS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1622,016,45,11,08B,1136048,1933005,2004,04/15/2016 08:55:02 AM,41.972339624,-87.775110617,"(41.972339624, -87.775110617)"
5332647,HN187695,02/19/2007 06:00:00 PM,050XX N OAKLEY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2031,020,47,4,26,1160102,1933574,2007,04/15/2016 08:55:02 AM,41.973436822,-87.686643596,"(41.973436822, -87.686643596)"
10278551,HY466902,10/18/2015 03:01:00 PM,009XX W CORNELIA AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,1924,019,44,6,06,1169219,1923432,2015,10/25/2015 03:55:25 PM,41.945413081,-87.653414279,"(41.945413081, -87.653414279)"
1653836,G436549,07/25/2001 02:49:49 AM,076XX S ABERDEEN ST,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY,true,false,0612,006,,,07,1170276,1853781,2001,08/17/2015 03:03:40 PM,41.754261737,-87.651561692,"(41.754261737, -87.651561692)"
7524948,HS328130,05/26/2010 07:00:00 PM,082XX S ALBANY AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,0835,008,18,70,06,1157148,1849785,2010,02/04/2016 06:33:39 AM,41.743571479,-87.699779735,"(41.743571479, -87.699779735)"
7569126,HS373429,06/22/2010 02:00:00 PM,026XX N FRANCISCO AVE,0890,THEFT,FROM BUILDING,"SCHOOL, PRIVATE, BUILDING",false,false,1411,014,35,22,06,1156583,1917523,2010,02/04/2016 06:33:39 AM,41.929464023,-87.700019981,"(41.929464023, -87.700019981)"
