  slev   sx    sy dlev   dx    dy  count       per       cum
b   14 4824 10226   14 4824 10226 864288 3.0894086  3.089409
b   14 4825 10226   14 4825 10226 803577 2.8723963  5.961805
b   14 4824 10225   14 4824 10225 762639 2.7260629  8.687868
b   14 4824 10226   14 4825 10226 734306 2.6247862 11.312654
b   14 4825 10226   14 4824 10226 679372 2.4284240 13.741078
b   14 4824 10225   14 4824 10226 586868 2.0977672 15.838845
b   14 4824 10226   14 4824 10225 535348 1.9136083 17.752454
b   14 4824 10225   14 4825 10226 513693 1.8362022 19.588656
b   14 4824 10225   14 4824 10224 496652 1.7752890 21.363945
b   14 4825 10226   14 4824 10225 478884 1.7117770 23.075722
b   14 4824 10224   14 4824 10225 432351 1.5454442 24.621166
b   14 4825 10227   14 4825 10226 430286 1.5380628 26.159229
b   14 4825 10226   14 4826 10227 418961 1.4975815 27.656810
b   14 4826 10227   14 4826 10227 411348 1.4703687 29.127179
b   14 4825 10226   14 4825 10227 410879 1.4686923 30.595871
b   14 4824 10224   14 4824 10224 404287 1.4451291 32.041000
b   14 4825 10227   14 4825 10227 382528 1.3673513 33.408352
b   14 4826 10227   14 4825 10226 362505 1.2957788 34.704130
b   14 4825 10227   14 4826 10227 298619 1.0674175 35.771548
b   14 4826 10227   14 4825 10227 272480 0.9739833 36.745531
b   14 4825 10228   14 4825 10228 269414 0.9630238 37.708555
b   14 4824 10226   14 4824 10227 266374 0.9521573 38.660712
b   14 4824 10226   14 4825 10227 259941 0.9291624 39.589875
b   14 4825 10227   14 4824 10226 254832 0.9109003 40.500775
b   14 4824 10227   14 4824 10226 226350 0.8090910 41.309866
b   14 4826 10227   14 4826 10228 221984 0.7934847 42.103351
b   14 4824 10224   14 4824 10226 216886 0.7752618 42.878612
b   14 4824 10226   14 4824 10224 209858 0.7501401 43.628753
b   14 4824 10225   14 4825 10225 203781 0.7284178 44.357170
b   14 4825 10226   14 4824 10224 198761 0.7104738 45.067644
b   14 4825 10226   14 4825 10225 196882 0.7037572 45.771401
b   14 4824 10224   14 4825 10226 195473 0.6987208 46.470122
b   14 4825 10227   14 4825 10228 188638 0.6742890 47.144411
b   14 4825 10228   14 4825 10227 183412 0.6556086 47.800020
b   14 4825 10225   14 4825 10226 178349 0.6375108 48.437530
b   14 4824 10225   14 4823 10225 176296 0.6301723 49.067703
